N,n_parties,threads,construction,eval_ms_median,eval_ms_p25,eval_ms_p75,eval_ms_min,eval_ms_max,reps,key_bytes_party0,key_bytes_max,uplink_bytes_total,evals_per_sec,cpu,aes,p
1000,2,1,bgi16-tree,0.02649,0.02631,0.02655,0.02625,0.028254,11,198,198,396,3.77501e+07,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
1000,2,2,bgi16-tree,0.02617,0.02597,0.02623,0.025929,0.03137,11,198,198,396,3.82117e+07,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
1000,2,4,bgi16-tree,0.02624,0.026109,0.026371,0.02601,0.026391,11,198,198,396,3.81098e+07,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
1000,2,8,bgi16-tree,0.02612,0.025949,0.02614,0.025779,0.039475,11,198,198,396,3.82848e+07,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
1000,2,16,bgi16-tree,0.02618,0.026058,0.02626,0.025941,0.031379,11,198,198,396,3.81971e+07,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
1000,2,32,bgi16-tree,0.026261,0.02617,0.026339,0.026089,0.026421,11,198,198,396,3.80793e+07,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
1000,2,64,bgi16-tree,0.026049,0.02595,0.02612,0.025918,0.026381,11,198,198,396,3.83892e+07,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
1000,2,1,nparty-explicit,0.011702,0.011412,0.013756,0.011381,0.212363,11,32,8016,8048,8.54555e+07,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
1000,2,2,nparty-explicit,0.011381,0.011312,0.011461,0.011232,0.011773,11,32,8016,8048,8.78658e+07,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
1000,2,4,nparty-explicit,0.011331,0.011321,0.011361,0.011231,0.011622,11,32,8016,8048,8.82535e+07,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
1000,2,8,nparty-explicit,0.011281,0.011233,0.011341,0.01116,0.011763,11,32,8016,8048,8.86446e+07,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
1000,2,16,nparty-explicit,0.011372,0.011322,0.011401,0.011273,0.012042,11,32,8016,8048,8.79353e+07,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
1000,2,32,nparty-explicit,0.011371,0.011271,0.011542,0.011241,0.025409,11,32,8016,8048,8.7943e+07,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
1000,2,64,nparty-explicit,0.011323,0.011262,0.011401,0.011192,0.011702,11,32,8016,8048,8.83158e+07,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
1000,3,1,nparty-explicit,0.011323,0.011251,0.011373,0.011201,0.012052,11,32,8016,8080,8.83158e+07,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
1000,3,2,nparty-explicit,0.011382,0.011101,0.012032,0.011021,0.023465,11,32,8016,8080,8.7858e+07,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
1000,3,4,nparty-explicit,0.011201,0.011171,0.011242,0.011101,0.012123,11,32,8016,8080,8.92777e+07,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
1000,3,8,nparty-explicit,0.011181,0.011161,0.011561,0.011122,0.012134,11,32,8016,8080,8.94374e+07,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
1000,3,16,nparty-explicit,0.011232,0.011121,0.012023,0.011052,0.024898,11,32,8016,8080,8.90313e+07,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
1000,3,32,nparty-explicit,0.011212,0.011132,0.011311,0.011081,0.012795,11,32,8016,8080,8.91901e+07,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
1000,3,64,nparty-explicit,0.011221,0.011182,0.011301,0.01115,0.012904,11,32,8016,8080,8.91186e+07,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
1000,4,1,nparty-explicit,0.011311,0.011171,0.012734,0.011141,0.024797,11,32,8016,8112,8.84095e+07,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
1000,4,2,nparty-explicit,0.01119,0.011152,0.011301,0.011031,0.013225,11,32,8016,8112,8.93655e+07,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
