path,N,Nd,n_parties,template,threads,provider_ms_median,provider_ms_p25,provider_ms_p75,client_ms_median,reps,downlink_bytes_per_provider,downlink_bytes_total,uplink_bytes_total,index_bytes_per_provider,he_params,cpu,note
fast,35162,1000,2,sum,64,54.6252,54.5405,54.7386,1.34526,11,525950,1051900,600,0,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor,A_f is O(N/l) ciphertexts; independent of Nd
general,35162,1000,2,sum,64,106.304,102.878,106.71,1.38002,3,525950,1051900,600,281296000,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor,Theta(N*Nd) contraction over the masked index
fast,35162,5000,2,sum,64,40.4184,40.3629,40.4579,1.3604,11,525950,1051900,600,0,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor,A_f is O(N/l) ciphertexts; independent of Nd
general,35162,5000,2,sum,64,86.876,85.8793,87.2019,1.38967,3,525950,1051900,600,1406480000,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor,Theta(N*Nd) contraction over the masked index
fast,35162,10000,2,sum,64,40.1881,40.1659,40.231,1.36602,11,525950,1051900,600,0,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor,A_f is O(N/l) ciphertexts; independent of Nd
general,35162,10000,2,sum,64,99.6698,99.0634,99.9237,1.38134,3,525950,1051900,600,2812960000,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor,Theta(N*Nd) contraction over the masked index
fast,35162,20000,2,sum,64,40.4879,40.3553,40.7507,1.33821,11,525950,1051900,600,0,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor,A_f is O(N/l) ciphertexts; independent of Nd
general,35162,20000,2,sum,64,145.512,120.613,161.461,1.39396,3,525950,1051900,600,5625920000,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor,Theta(N*Nd) contraction over the masked index
fast,35162,50000,2,sum,64,40.6949,40.6529,40.74,1.36327,11,525950,1051900,600,0,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor,A_f is O(N/l) ciphertexts; independent of Nd
general,35162,50000,2,sum,64,220.834,199.295,271.547,1.39038,3,525950,1051900,600,14064800000,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor,Theta(N*Nd) contraction over the masked index
fast,35162,100000,2,sum,64,41.1902,41.1162,41.2965,1.3802,11,525950,1051900,600,0,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor,A_f is O(N/l) ciphertexts; independent of Nd
general,35162,100000,2,sum,64,382.038,375.633,384.961,1.36662,3,525950,1051900,600,28129600000,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor,Theta(N*Nd) contraction over the masked index
fast,35162,200000,2,sum,64,40.8678,40.8188,40.9899,1.43856,11,525950,1051900,600,0,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor,A_f is O(N/l) ciphertexts; independent of Nd
general,35162,200000,2,sum,64,0,0,0,0,0,0,0,0,56259200000,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor,"SKIPPED: I' would need 56.3 GB, 63.3 GB available (budget 75%; raise --mem-fraction to attempt it)"
fast,35162,405184,2,sum,64,40.8869,40.7963,41.0718,1.36739,11,525950,1051900,600,0,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor,A_f is O(N/l) ciphertexts; independent of Nd
general,35162,405184,2,sum,64,0,0,0,0,0,0,0,0,113976638464,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor,"SKIPPED: I' would need 114.0 GB, 63.3 GB available (budget 75%; raise --mem-fraction to attempt it)"
