deployment,n_providers,N,template,query_index,end_to_end_ms,provider_compute_ms_max,transport_ms,client_combine_decrypt_ms,uplink_bytes_total,downlink_bytes_total,mac_ok,he_params,provider_list,rtt_ms_max
"single-host loopback, n=3",3,35162,sum,0,51.247,38.1113,10.41,2.7257,281422,1579050,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403",0.031249
"single-host loopback, n=3",3,35162,sum,1,51.791,37.7464,12.5601,1.48456,281422,1579050,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403",0.031249
"single-host loopback, n=3",3,35162,sum,2,51.4039,37.9639,11.9342,1.50584,281422,1579050,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403",0.031249
"single-host loopback, n=3",3,35162,sum,3,56.1823,42.2804,12.4102,1.49178,281422,1579050,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403",0.031249
"single-host loopback, n=3",3,35162,sum,4,51.3918,38.1285,11.7661,1.49721,281422,1579050,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403",0.031249
"single-host loopback, n=3",3,35162,sum,5,51.8277,37.9352,12.3898,1.50268,281422,1579050,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403",0.031249
"single-host loopback, n=3",3,35162,sum,6,51.2583,38.3128,11.4509,1.49451,281422,1579050,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403",0.031249
"single-host loopback, n=3",3,35162,sum,7,51.6267,38.8638,11.2652,1.49772,281422,1579050,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403",0.031249
"single-host loopback, n=3",3,35162,sum,8,51.642,38.0365,12.0498,1.55566,281422,1579050,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403",0.031249
"single-host loopback, n=3",3,35162,sum,9,51.2034,37.3661,12.3375,1.49987,281422,1579050,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403",0.031249
"single-host loopback, n=3",3,35162,sum,10,51.3037,37.8508,11.9531,1.49983,281422,1579050,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403",0.031249
"single-host loopback, n=3",3,35162,sum,11,51.3114,37.3896,12.4443,1.47754,281422,1579050,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403",0.031249
"single-host loopback, n=3",3,35162,sum,12,51.0034,37.3693,12.1232,1.51095,281422,1579050,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403",0.031249
"single-host loopback, n=3",3,35162,sum,13,51.0634,38.3145,11.2338,1.51515,281422,1579050,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403",0.031249
"single-host loopback, n=3",3,35162,sum,14,50.8585,37.3785,11.9682,1.51172,281422,1579050,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403",0.031249
"single-host loopback, n=3",3,35162,sum,15,51.0038,38.2719,11.2274,1.50444,281422,1579050,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403",0.031249
"single-host loopback, n=3",3,35162,sum,16,50.9608,37.117,12.3348,1.50899,281422,1579050,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403",0.031249
"single-host loopback, n=3",3,35162,sum,17,51.1283,37.4566,12.1949,1.47676,281422,1579050,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403",0.031249
"single-host loopback, n=3",3,35162,sum,18,59.3232,45.4397,12.3832,1.50028,281422,1579050,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403",0.031249
"single-host loopback, n=3",3,35162,sum,19,50.9909,37.4646,12.0446,1.48164,281422,1579050,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403",0.031249
"single-host loopback, n=3",3,35162,sum,20,51.2043,37.3411,12.3723,1.49085,281422,1579050,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403",0.031249
"single-host loopback, n=3",3,35162,sum,21,53.2577,39.4157,12.3465,1.49555,281422,1579050,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403",0.031249
"single-host loopback, n=3",3,35162,sum,22,51.2231,37.4127,12.2632,1.54724,281422,1579050,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403",0.031249
"single-host loopback, n=3",3,35162,sum,23,48.3562,37.1922,9.68508,1.47894,281422,1579050,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403",0.031249
"single-host loopback, n=3",3,35162,sum,24,51.1494,37.2649,12.3645,1.51998,281422,1579050,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403",0.031249
"single-host loopback, n=3",3,35162,sum,25,54.0152,40.4311,12.0742,1.51,281422,1579050,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403",0.031249
"single-host loopback, n=3",3,35162,sum,26,54.9734,41.1004,12.3411,1.53194,281422,1579050,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403",0.031249
"single-host loopback, n=3",3,35162,sum,27,50.9269,37.8509,11.5191,1.5569,281422,1579050,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403",0.031249
"single-host loopback, n=3",3,35162,sum,28,50.7549,37.3354,11.8759,1.54356,281422,1579050,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403",0.031249
"single-host loopback, n=3",3,35162,sum,29,51.043,37.9902,11.5594,1.49341,281422,1579050,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403",0.031249
"single-host loopback, n=3",3,35162,sum,30,51.2594,38.717,11.0206,1.52185,281422,1579050,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403",0.031249
"single-host loopback, n=3",3,35162,sum,31,51.1207,38.4438,11.2008,1.47611,281422,1579050,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403",0.031249
"single-host loopback, n=3",3,35162,sum,32,50.9866,37.3631,12.1131,1.51035,281422,1579050,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403",0.031249
