tag_index,tag_name,unmasked_weight,masked_rowsum,p,N,Nd
0,CO:b0,56378,35044757276,68724326401,35162,420370
1,CO:b1,31257,52456632358,68724326401,35162,420370
2,CO:b2,57151,57849141730,68724326401,35162,420370
3,CO:b3,26469,24869867672,68724326401,35162,420370
4,CO:b4,44573,54077823638,68724326401,35162,420370
5,CO:b5,36838,25205052090,68724326401,35162,420370
6,CO:b6,28384,18372518594,68724326401,35162,420370
7,CO:b7,44145,28120299997,68724326401,35162,420370
8,CO:b8,36037,43631087965,68724326401,35162,420370
9,CO:b9,38440,35222067773,68724326401,35162,420370
10,CO:na,20698,64267361413,68724326401,35162,420370
11,DEWP:b0,42732,51016251725,68724326401,35162,420370
12,DEWP:b1,41979,18638088532,68724326401,35162,420370
13,DEWP:b2,41554,2540595143,68724326401,35162,420370
14,DEWP:b3,42164,38883030378,68724326401,35162,420370
15,DEWP:b4,42405,61011707449,68724326401,35162,420370
16,DEWP:b5,41604,42553590693,68724326401,35162,420370
17,DEWP:b6,42467,9148541748,68724326401,35162,420370
18,DEWP:b7,41651,50612341436,68724326401,35162,420370
19,DEWP:b8,42696,18797266656,68724326401,35162,420370
20,DEWP:b9,41113,47098089925,68724326401,35162,420370
21,DEWP:na,5,68632895703,68724326401,35162,420370
22,NO2:b0,41693,36616085508,68724326401,35162,420370
23,NO2:b1,45626,14942959527,68724326401,35162,420370
24,NO2:b2,39246,53841237711,68724326401,35162,420370
25,NO2:b3,36764,37875898274,68724326401,35162,420370
26,NO2:b4,41902,14866660870,68724326401,35162,420370
27,NO2:b5,40929,44155237780,68724326401,35162,420370
28,NO2:b6,42448,7494149467,68724326401,35162,420370
29,NO2:b7,39738,14754724319,68724326401,35162,420370
30,NO2:b8,39616,41259292106,68724326401,35162,420370
31,NO2:b9,40293,7443752558,68724326401,35162,420370
32,NO2:na,12115,27909678694,68724326401,35162,420370
33,O3:b0,50463,66713544332,68724326401,35162,420370
34,O3:b1,31068,14922621796,68724326401,35162,420370
35,O3:b2,40599,42637007542,68724326401,35162,420370
36,O3:b3,42656,66574302525,68724326401,35162,420370
37,O3:b4,40417,11426403955,68724326401,35162,420370
38,O3:b5,39210,59581527811,68724326401,35162,420370
39,O3:b6,41624,19708360034,68724326401,35162,420370
40,O3:b7,40660,5708039922,68724326401,35162,420370
41,O3:b8,39718,52912592354,68724326401,35162,420370
42,O3:b9,40685,44073173615,68724326401,35162,420370
43,O3:na,13270,11916937612,68724326401,35162,420370
44,PM10:b0,42207,33829644551,68724326401,35162,420370
45,PM10:b1,43514,30967103073,68724326401,35162,420370
46,PM10:b2,40308,25353343480,68724326401,35162,420370
47,PM10:b3,40403,1839461342,68724326401,35162,420370
48,PM10:b4,41250,61565558575,68724326401,35162,420370
49,PM10:b5,41663,41235678890,68724326401,35162,420370
50,PM10:b6,41219,52374636607,68724326401,35162,420370
51,PM10:b7,41220,52935611312,68724326401,35162,420370
52,PM10:b8,41177,51418313141,68724326401,35162,420370
53,PM10:b9,40962,32868591046,68724326401,35162,420370
54,PM10:na,6447,27959812849,68724326401,35162,420370
55,PM2.5:b0,42085,61528150993,68724326401,35162,420370
56,PM2.5:b1,43339,29631668589,68724326401,35162,420370
57,PM2.5:b2,40196,68403658785,68724326401,35162,420370
58,PM2.5:b3,39545,31695999840,68724326401,35162,420370
59,PM2.5:b4,41778,1737115217,68724326401,35162,420370
60,PM2.5:b5,41904,44050912150,68724326401,35162,420370
61,PM2.5:b6,39525,61241530547,68724326401,35162,420370
62,PM2.5:b7,41066,9249000353,68724326401,35162,420370
63,PM2.5:b8,41260,16606781649,68724326401,35162,420370
64,PM2.5:b9,40933,57558924181,68724326401,35162,420370
65,PM2.5:na,8739,50928872495,68724326401,35162,420370
66,PRES:b0,42420,30770848759,68724326401,35162,420370
67,PRES:b1,41996,68719721062,68724326401,35162,420370
68,PRES:b2,41722,1396380264,68724326401,35162,420370
69,PRES:b3,42177,32993401522,68724326401,35162,420370
70,PRES:b4,42764,29074532543,68724326401,35162,420370
71,PRES:b5,42165,67529125034,68724326401,35162,420370
72,PRES:b6,41846,43439999101,68724326401,35162,420370
73,PRES:b7,44097,60679692006,68724326401,35162,420370
74,PRES:b8,39875,56764980233,68724326401,35162,420370
75,PRES:b9,41306,45196490891,68724326401,35162,420370
76,PRES:na,2,67953920720,68724326401,35162,420370
77,SO2:b0,102344,37270651252,68724326401,35162,420370
78,SO2:b2,33151,66127221244,68724326401,35162,420370
79,SO2:b3,40606,53770064257,68724326401,35162,420370
80,SO2:b4,31780,61623091174,68724326401,35162,420370
81,SO2:b5,46329,45757281684,68724326401,35162,420370
82,SO2:b6,37873,26942804245,68724326401,35162,420370
83,SO2:b7,37401,56833755243,68724326401,35162,420370
84,SO2:b8,40733,58101073214,68724326401,35162,420370
85,SO2:b9,41132,17026741550,68724326401,35162,420370
86,SO2:na,9021,35268991248,68724326401,35162,420370
87,hour:2013-10-1-0,12,14758682616,68724326401,35162,420370
88,hour:2013-10-1-1,12,23975574827,68724326401,35162,420370
89,hour:2013-10-1-10,12,20324145953,68724326401,35162,420370
90,hour:2013-10-1-11,12,39984886331,68724326401,35162,420370
91,hour:2013-10-1-12,12,22950663933,68724326401,35162,420370
92,hour:2013-10-1-13,12,60812493431,68724326401,35162,420370
93,hour:2013-10-1-14,12,78640801,68724326401,35162,420370
94,hour:2013-10-1-15,12,45035459204,68724326401,35162,420370
95,hour:2013-10-1-16,12,67505161038,68724326401,35162,420370
96,hour:2013-10-1-17,12,20560978408,68724326401,35162,420370
97,hour:2013-10-1-18,12,51013053150,68724326401,35162,420370
98,hour:2013-10-1-19,12,6248481627,68724326401,35162,420370
99,hour:2013-10-1-2,12,67607494445,68724326401,35162,420370
100,hour:2013-10-1-20,12,38232653757,68724326401,35162,420370
101,hour:2013-10-1-21,12,35623338930,68724326401,35162,420370
102,hour:2013-10-1-22,12,59899285227,68724326401,35162,420370
103,hour:2013-10-1-23,12,55596780162,68724326401,35162,420370
104,hour:2013-10-1-3,12,23760186009,68724326401,35162,420370
105,hour:2013-10-1-4,12,27388716439,68724326401,35162,420370
106,hour:2013-10-1-5,12,55122197883,68724326401,35162,420370
107,hour:2013-10-1-6,12,45179235498,68724326401,35162,420370
108,hour:2013-10-1-7,12,15845242162,68724326401,35162,420370
109,hour:2013-10-1-8,12,49411233208,68724326401,35162,420370
110,hour:2013-10-1-9,12,9423042539,68724326401,35162,420370
111,hour:2013-10-10-0,12,41472580043,68724326401,35162,420370
112,hour:2013-10-10-1,12,14156110487,68724326401,35162,420370
113,hour:2013-10-10-10,12,32299881573,68724326401,35162,420370
114,hour:2013-10-10-11,12,24185517205,68724326401,35162,420370
115,hour:2013-10-10-12,12,58142549216,68724326401,35162,420370
116,hour:2013-10-10-13,12,5671394356,68724326401,35162,420370
117,hour:2013-10-10-14,12,58509102767,68724326401,35162,420370
118,hour:2013-10-10-15,12,24559096007,68724326401,35162,420370
119,hour:2013-10-10-16,12,6628333076,68724326401,35162,420370
120,hour:2013-10-10-17,12,27275150515,68724326401,35162,420370
121,hour:2013-10-10-18,12,30304715792,68724326401,35162,420370
122,hour:2013-10-10-19,12,35278542678,68724326401,35162,420370
123,hour:2013-10-10-2,12,3395338096,68724326401,35162,420370
124,hour:2013-10-10-20,12,30513989890,68724326401,35162,420370
125,hour:2013-10-10-21,12,11880775532,68724326401,35162,420370
126,hour:2013-10-10-22,12,43995582743,68724326401,35162,420370
127,hour:2013-10-10-23,12,38272841969,68724326401,35162,420370
128,hour:2013-10-10-3,12,57974611016,68724326401,35162,420370
129,hour:2013-10-10-4,12,3846176312,68724326401,35162,420370
130,hour:2013-10-10-5,12,20425777954,68724326401,35162,420370
131,hour:2013-10-10-6,12,63983976382,68724326401,35162,420370
132,hour:2013-10-10-7,12,13517074172,68724326401,35162,420370
133,hour:2013-10-10-8,12,38351168963,68724326401,35162,420370
134,hour:2013-10-10-9,12,46439347653,68724326401,35162,420370
135,hour:2013-10-11-0,12,30523982545,68724326401,35162,420370
136,hour:2013-10-11-1,12,9441078400,68724326401,35162,420370
137,hour:2013-10-11-10,12,34453659465,68724326401,35162,420370
138,hour:2013-10-11-11,12,37482306726,68724326401,35162,420370
139,hour:2013-10-11-12,12,46832549175,68724326401,35162,420370
140,hour:2013-10-11-13,12,65075454901,68724326401,35162,420370
141,hour:2013-10-11-14,12,38781432833,68724326401,35162,420370
142,hour:2013-10-11-15,12,50763667863,68724326401,35162,420370
143,hour:2013-10-11-16,12,33659101632,68724326401,35162,420370
144,hour:2013-10-11-17,12,54398240130,68724326401,35162,420370
145,hour:2013-10-11-18,12,64415331457,68724326401,35162,420370
146,hour:2013-10-11-19,12,35504615667,68724326401,35162,420370
147,hour:2013-10-11-2,12,2809744235,68724326401,35162,420370
148,hour:2013-10-11-20,12,52397764564,68724326401,35162,420370
149,hour:2013-10-11-21,12,50245045646,68724326401,35162,420370
150,hour:2013-10-11-22,12,66224053671,68724326401,35162,420370
151,hour:2013-10-11-23,12,12038582549,68724326401,35162,420370
152,hour:2013-10-11-3,12,33611274410,68724326401,35162,420370
153,hour:2013-10-11-4,12,42176605682,68724326401,35162,420370
154,hour:2013-10-11-5,12,28367895774,68724326401,35162,420370
155,hour:2013-10-11-6,12,22003515967,68724326401,35162,420370
156,hour:2013-10-11-7,12,5385690959,68724326401,35162,420370
157,hour:2013-10-11-8,12,26290350023,68724326401,35162,420370
158,hour:2013-10-11-9,12,60549821070,68724326401,35162,420370
159,hour:2013-10-12-0,12,68078718614,68724326401,35162,420370
160,hour:2013-10-12-1,12,49317445919,68724326401,35162,420370
161,hour:2013-10-12-10,12,30597771884,68724326401,35162,420370
162,hour:2013-10-12-11,12,53751018584,68724326401,35162,420370
163,hour:2013-10-12-12,12,15718607025,68724326401,35162,420370
164,hour:2013-10-12-13,12,21772749845,68724326401,35162,420370
165,hour:2013-10-12-14,12,21579137695,68724326401,35162,420370
166,hour:2013-10-12-15,12,54495298335,68724326401,35162,420370
167,hour:2013-10-12-16,12,50680348950,68724326401,35162,420370
168,hour:2013-10-12-17,12,51895339491,68724326401,35162,420370
169,hour:2013-10-12-18,12,1866637961,68724326401,35162,420370
170,hour:2013-10-12-19,12,49717832444,68724326401,35162,420370
171,hour:2013-10-12-2,12,50611026829,68724326401,35162,420370
172,hour:2013-10-12-20,12,22760388440,68724326401,35162,420370
173,hour:2013-10-12-21,12,23124683612,68724326401,35162,420370
174,hour:2013-10-12-22,12,53328733721,68724326401,35162,420370
175,hour:2013-10-12-23,12,51668508519,68724326401,35162,420370
176,hour:2013-10-12-3,12,12665715762,68724326401,35162,420370
177,hour:2013-10-12-4,12,55636803029,68724326401,35162,420370
178,hour:2013-10-12-5,12,50388438866,68724326401,35162,420370
179,hour:2013-10-12-6,12,25738923280,68724326401,35162,420370
180,hour:2013-10-12-7,12,21558395605,68724326401,35162,420370
181,hour:2013-10-12-8,12,13419984405,68724326401,35162,420370
182,hour:2013-10-12-9,12,31630302413,68724326401,35162,420370
183,hour:2013-10-13-0,12,68184702650,68724326401,35162,420370
184,hour:2013-10-13-1,12,44775859776,68724326401,35162,420370
185,hour:2013-10-13-10,12,14920138435,68724326401,35162,420370
186,hour:2013-10-13-11,12,39920580668,68724326401,35162,420370
