N,Nd,template,masked_index_bytes,plaintext_bitmap_bytes,mask_expansion_x,A_column_ct_count,A_column_bytes,U_column_bytes,encrypt_corpus_ms,compute_A_ms,compute_U_ms,build_masked_index_ms,mask_prf_values,mask_throughput_Mvals_per_s,he_params,cpu,threads
35162,1000,count,281296000,4395250,64,5,1314875,1314875,3.99062,5.99893,15.0019,174.764,35162000,2343.84,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor,64
35162,1000,sum,281296000,4395250,64,5,1314875,1314875,3.99062,0.080473,4.93467,174.764,35162000,7125.51,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor,64
35162,1000,band_sum,281296000,4395250,64,5,1314875,1314875,3.99062,0.09485,4.85879,174.764,35162000,7236.78,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor,64
35162,1000,wsum,281296000,4395250,64,5,1314875,1314875,3.99062,0.07881,4.86323,174.764,35162000,7230.17,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor,64
35162,10000,count,2812960000,43952500,64,5,1314875,1314875,7.19992,11.9993,94.0009,1732.02,351620000,3740.6,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor,64
35162,10000,sum,2812960000,43952500,64,5,1314875,1314875,7.19992,0.2315,50.3859,1732.02,351620000,6978.55,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor,64
35162,10000,band_sum,2812960000,43952500,64,5,1314875,1314875,7.19992,0.212122,50.2702,1732.02,351620000,6994.61,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor,64
35162,10000,wsum,2812960000,43952500,64,5,1314875,1314875,7.19992,0.203375,50.8216,1732.02,351620000,6918.71,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor,64
35162,100000,count,28129600000,439525000,64,5,1314875,1314875,47.9485,3.76761,513.661,16564,3516200000,6845.37,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor,64
35162,100000,sum,28129600000,439525000,64,5,1314875,1314875,47.9485,1.87719,517.693,16564,3516200000,6792.05,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor,64
35162,100000,band_sum,28129600000,439525000,64,5,1314875,1314875,47.9485,2.00591,512.699,16564,3516200000,6858.21,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor,64
35162,100000,wsum,28129600000,439525000,64,5,1314875,1314875,47.9485,1.74921,514.135,16564,3516200000,6839.06,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor,64
