N,n_parties,threads,construction,eval_ms_median,eval_ms_p25,eval_ms_p75,eval_ms_min,eval_ms_max,reps,key_bytes_party0,key_bytes_max,uplink_bytes_total,evals_per_sec,cpu,aes,p
1000,2,1,bgi16-tree,0.018965,0.018606,0.020729,0.018435,0.038224,11,198,198,396,5.27287e+07,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
1000,2,2,bgi16-tree,0.018865,0.018684,0.019108,0.018633,0.019735,11,198,198,396,5.30082e+07,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
1000,2,4,bgi16-tree,0.018802,0.018662,0.019074,0.018565,0.133829,11,198,198,396,5.31858e+07,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
1000,2,1,nparty-explicit,0.013892,0.013865,0.013995,0.013862,0.188767,11,32,8016,8048,7.19839e+07,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
1000,2,2,nparty-explicit,0.013852,0.013846,0.013876,0.013838,0.013965,11,32,8016,8048,7.21917e+07,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
1000,2,4,nparty-explicit,0.013858,0.013834,0.01388,0.013817,0.014037,11,32,8016,8048,7.21605e+07,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
1000,3,1,nparty-explicit,0.013845,0.013821,0.013948,0.013798,0.026938,11,32,8016,8080,7.22282e+07,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
1000,3,2,nparty-explicit,0.013833,0.013808,0.013858,0.013804,0.014024,11,32,8016,8080,7.22909e+07,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
1000,3,4,nparty-explicit,0.014589,0.014505,0.015301,0.014066,0.015603,11,32,8016,8080,6.85448e+07,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
1000,4,1,nparty-explicit,0.013945,0.013885,0.015229,0.013855,0.034082,11,32,8016,8112,7.17103e+07,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
1000,4,2,nparty-explicit,0.013849,0.013827,0.014374,0.013819,0.078174,11,32,8016,8112,7.22074e+07,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
1000,4,4,nparty-explicit,0.013843,0.013829,0.017833,0.01382,0.018704,11,32,8016,8112,7.22387e+07,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
10000,2,1,bgi16-tree,0.237615,0.232958,0.248711,0.229564,0.253547,11,266,266,532,4.20849e+07,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
10000,2,2,bgi16-tree,0.186801,0.175388,0.1924,0.167872,0.261945,11,266,266,532,5.35329e+07,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
10000,2,4,bgi16-tree,0.124266,0.119108,0.145199,0.116967,0.230494,11,266,266,532,8.04725e+07,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
10000,2,1,nparty-explicit,0.048082,0.047997,0.048585,0.047981,0.052822,11,32,80016,80048,2.07978e+08,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
10000,2,2,nparty-explicit,0.048026,0.047992,0.048171,0.047976,0.088703,11,32,80016,80048,2.08221e+08,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
10000,2,4,nparty-explicit,0.048049,0.047984,0.048266,0.047966,0.052839,11,32,80016,80048,2.08121e+08,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
10000,3,1,nparty-explicit,0.048389,0.048063,0.051079,0.048024,0.052277,11,32,80016,80080,2.06659e+08,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
10000,3,2,nparty-explicit,0.048148,0.048128,0.048559,0.047977,0.052996,11,32,80016,80080,2.07693e+08,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
10000,3,4,nparty-explicit,0.048081,0.048013,0.048191,0.047997,0.0835,11,32,80016,80080,2.07982e+08,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
10000,4,1,nparty-explicit,0.050295,0.048225,0.054497,0.048002,0.074725,11,32,80016,80112,1.98827e+08,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
10000,4,2,nparty-explicit,0.048151,0.048067,0.048295,0.048002,0.053194,11,32,80016,80112,2.0768e+08,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
10000,4,4,nparty-explicit,0.050746,0.04936,0.052983,0.048136,0.070202,11,32,80016,80112,1.9706e+08,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
11580,2,1,bgi16-tree,0.273461,0.265468,0.282758,0.259439,0.304507,11,266,266,532,4.23461e+07,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
11580,2,2,bgi16-tree,0.194842,0.192856,0.199923,0.181551,0.215391,11,266,266,532,5.94328e+07,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
11580,2,4,bgi16-tree,0.158115,0.151294,0.188258,0.147216,0.249015,11,266,266,532,7.32378e+07,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
11580,2,1,nparty-explicit,0.05404,0.053995,0.054404,0.053981,0.06767,11,32,92656,92688,2.14286e+08,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
11580,2,2,nparty-explicit,0.054081,0.054048,0.057712,0.053983,0.062504,11,32,92656,92688,2.14123e+08,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
11580,2,4,nparty-explicit,0.054344,0.054108,0.054475,0.054073,0.073832,11,32,92656,92688,2.13087e+08,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
11580,3,1,nparty-explicit,0.054497,0.054361,0.060339,0.054012,0.092248,11,32,92656,92720,2.12489e+08,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
11580,3,2,nparty-explicit,0.054374,0.054079,0.058141,0.054054,0.060808,11,32,92656,92720,2.12969e+08,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
11580,3,4,nparty-explicit,0.054153,0.05406,0.054336,0.054045,0.067436,11,32,92656,92720,2.13839e+08,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
11580,4,1,nparty-explicit,0.054389,0.05419,0.059345,0.054129,0.098398,11,32,92656,92752,2.12911e+08,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
11580,4,2,nparty-explicit,0.054592,0.054064,0.058347,0.054011,0.070608,11,32,92656,92752,2.12119e+08,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
11580,4,4,nparty-explicit,0.058194,0.054838,0.058321,0.054092,0.065394,11,32,92656,92752,1.9899e+08,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
100000,2,1,bgi16-tree,3.46014,3.35417,3.4787,3.30783,6.04269,11,317,317,634,2.89006e+07,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
100000,2,2,bgi16-tree,2.67318,2.62856,2.91237,2.56469,3.02769,11,317,317,634,3.74086e+07,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
100000,2,4,bgi16-tree,1.99384,1.96293,2.07195,1.88081,3.71047,11,317,317,634,5.01546e+07,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
100000,2,1,nparty-explicit,0.409997,0.399612,0.425498,0.39786,0.480414,11,32,800016,800048,2.43904e+08,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
100000,2,2,nparty-explicit,0.272906,0.262398,0.280463,0.261952,0.321251,11,32,800016,800048,3.66427e+08,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
100000,2,4,nparty-explicit,0.268139,0.262862,0.299115,0.261166,0.351209,11,32,800016,800048,3.72941e+08,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
100000,3,1,nparty-explicit,0.412963,0.400689,0.418628,0.392239,0.457,11,32,800016,800080,2.42152e+08,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
