path,N,Nd,n_parties,template,threads,provider_ms_median,provider_ms_p25,provider_ms_p75,client_ms_median,reps,downlink_bytes_per_provider,downlink_bytes_total,uplink_bytes_total,index_bytes_per_provider,he_params,cpu,note
fast,11580,1000,2,sum,4,46.0416,42.8422,49.3422,1.60987,11,525950,1051900,532,0,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",Intel(R) Xeon(R) Processor @ 2.10GHz,A_f is O(N/l) ciphertexts; independent of Nd
general,11580,1000,2,sum,4,87.3214,87.0135,108.33,1.93033,3,525950,1051900,532,92640000,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",Intel(R) Xeon(R) Processor @ 2.10GHz,Theta(N*Nd) contraction over the masked index
fast,11580,5000,2,sum,4,43.3933,42.3461,44.4086,1.32597,11,525950,1051900,532,0,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",Intel(R) Xeon(R) Processor @ 2.10GHz,A_f is O(N/l) ciphertexts; independent of Nd
general,11580,5000,2,sum,4,115.166,108.717,115.716,1.57716,3,525950,1051900,532,463200000,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",Intel(R) Xeon(R) Processor @ 2.10GHz,Theta(N*Nd) contraction over the masked index
fast,11580,10000,2,sum,4,41.4432,40.6582,41.64,1.28,11,525950,1051900,532,0,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",Intel(R) Xeon(R) Processor @ 2.10GHz,A_f is O(N/l) ciphertexts; independent of Nd
general,11580,10000,2,sum,4,138.809,136.872,165.777,1.39761,3,525950,1051900,532,926400000,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",Intel(R) Xeon(R) Processor @ 2.10GHz,Theta(N*Nd) contraction over the masked index
fast,11580,20000,2,sum,4,43.2909,42.9661,46.9794,1.33121,11,525950,1051900,532,0,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",Intel(R) Xeon(R) Processor @ 2.10GHz,A_f is O(N/l) ciphertexts; independent of Nd
general,11580,20000,2,sum,4,196.106,187.825,201.773,1.30691,3,525950,1051900,532,1852800000,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",Intel(R) Xeon(R) Processor @ 2.10GHz,Theta(N*Nd) contraction over the masked index
fast,11580,50000,2,sum,4,31.5753,30.7456,34.5863,1.28525,11,525950,1051900,532,0,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",Intel(R) Xeon(R) Processor @ 2.10GHz,A_f is O(N/l) ciphertexts; independent of Nd
general,11580,50000,2,sum,4,361.261,350.208,363.998,1.28502,3,525950,1051900,532,4632000000,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",Intel(R) Xeon(R) Processor @ 2.10GHz,Theta(N*Nd) contraction over the masked index
fast,11580,100000,2,sum,4,31.8256,31.6082,33.243,1.23176,11,525950,1051900,532,0,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",Intel(R) Xeon(R) Processor @ 2.10GHz,A_f is O(N/l) ciphertexts; independent of Nd
general,11580,100000,2,sum,4,0,0,0,0,0,0,0,0,9264000000,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",Intel(R) Xeon(R) Processor @ 2.10GHz,"SKIPPED: I' would need 9.3 GB, 15.4 GB available"
fast,11580,405184,2,sum,4,34.3119,32.6723,42.184,1.3568,11,525950,1051900,532,0,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",Intel(R) Xeon(R) Processor @ 2.10GHz,A_f is O(N/l) ciphertexts; independent of Nd
general,11580,405184,2,sum,4,0,0,0,0,0,0,0,0,37536245760,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",Intel(R) Xeon(R) Processor @ 2.10GHz,"SKIPPED: I' would need 37.5 GB, 15.4 GB available"
