deployment,n_providers,N,template,query_index,end_to_end_ms,provider_compute_ms_max,transport_ms,client_combine_decrypt_ms,uplink_bytes_total,downlink_bytes_total,mac_ok,he_params,provider_list,rtt_ms_max
"single-host loopback, n=2",2,11580,sum,0,84.9923,69.5253,12.2052,3.26182,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9201,127.0.0.1:9202",0.039119
"single-host loopback, n=2",2,11580,sum,1,99.1609,89.2937,8.18407,1.68305,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9201,127.0.0.1:9202",0.039119
"single-host loopback, n=2",2,11580,sum,2,81.9475,68.4513,11.7321,1.7641,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9201,127.0.0.1:9202",0.039119
"single-host loopback, n=2",2,11580,sum,3,97.6581,84.4575,11.6235,1.57705,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9201,127.0.0.1:9202",0.039119
"single-host loopback, n=2",2,11580,sum,4,86.1692,71.5151,13.0897,1.56432,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9201,127.0.0.1:9202",0.039119
"single-host loopback, n=2",2,11580,sum,5,85.3374,68.2043,15.618,1.51506,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9201,127.0.0.1:9202",0.039119
"single-host loopback, n=2",2,11580,sum,6,86.651,71.431,13.1005,2.11947,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9201,127.0.0.1:9202",0.039119
"single-host loopback, n=2",2,11580,sum,7,78.8393,68.1525,9.13817,1.54869,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9201,127.0.0.1:9202",0.039119
"single-host loopback, n=2",2,11580,sum,8,86.2165,77.2794,6.9189,2.01819,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9201,127.0.0.1:9202",0.039119
"single-host loopback, n=2",2,11580,sum,9,107.81,100.201,6.04309,1.56562,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9201,127.0.0.1:9202",0.039119
"single-host loopback, n=2",2,11580,sum,10,75.6989,60.6676,13.396,1.63519,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9201,127.0.0.1:9202",0.039119
"single-host loopback, n=2",2,11580,sum,11,84.4368,73.2871,9.26704,1.88273,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9201,127.0.0.1:9202",0.039119
"single-host loopback, n=2",2,11580,sum,12,81.0413,66.6692,12.8264,1.54565,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9201,127.0.0.1:9202",0.039119
"single-host loopback, n=2",2,11580,sum,13,77.1678,63.1604,12.4132,1.59413,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9201,127.0.0.1:9202",0.039119
"single-host loopback, n=2",2,11580,sum,14,79.6277,66.6686,11.3668,1.59231,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9201,127.0.0.1:9202",0.039119
"single-host loopback, n=2",2,11580,sum,15,80.4227,63.4631,15.3142,1.64549,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9201,127.0.0.1:9202",0.039119
"single-host loopback, n=2",2,11580,sum,16,79.1043,65.785,11.771,1.54836,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9201,127.0.0.1:9202",0.039119
"single-host loopback, n=2",2,11580,sum,17,78.918,65.0177,12.3118,1.58848,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9201,127.0.0.1:9202",0.039119
"single-host loopback, n=2",2,11580,sum,18,85.4693,71.1802,12.5951,1.69403,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9201,127.0.0.1:9202",0.039119
"single-host loopback, n=2",2,11580,sum,19,81.5181,69.5321,10.2758,1.71019,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9201,127.0.0.1:9202",0.039119
"single-host loopback, n=2",2,11580,sum,20,86.2676,76.484,8.1479,1.63565,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9201,127.0.0.1:9202",0.039119
"single-host loopback, n=2",2,11580,sum,21,88.3531,76.6814,10.2058,1.46594,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9201,127.0.0.1:9202",0.039119
"single-host loopback, n=2",2,11580,sum,22,84.0462,68.3902,14.1489,1.50715,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9201,127.0.0.1:9202",0.039119
"single-host loopback, n=2",2,11580,sum,23,89.7714,77.1664,11.1896,1.41546,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9201,127.0.0.1:9202",0.039119
"single-host loopback, n=2",2,11580,sum,24,73.934,60.6445,11.665,1.62453,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9201,127.0.0.1:9202",0.039119
"single-host loopback, n=2",2,11580,sum,25,77.0672,69.5637,5.97339,1.53009,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9201,127.0.0.1:9202",0.039119
"single-host loopback, n=2",2,11580,sum,26,90.5051,63.443,13.5975,13.4646,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9201,127.0.0.1:9202",0.039119
"single-host loopback, n=2",2,11580,sum,27,78.5267,61.3565,15.7278,1.44234,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9201,127.0.0.1:9202",0.039119
"single-host loopback, n=2",2,11580,sum,28,86.2154,69.7377,14.97,1.50763,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9201,127.0.0.1:9202",0.039119
"single-host loopback, n=2",2,11580,sum,29,75.2485,57.7466,15.8493,1.65261,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9201,127.0.0.1:9202",0.039119
"single-host loopback, n=2",2,11580,sum,30,77.9341,67.6102,8.75709,1.5668,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9201,127.0.0.1:9202",0.039119
"single-host loopback, n=2",2,11580,sum,31,89.6139,75.0351,13.0953,1.48358,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9201,127.0.0.1:9202",0.039119
"single-host loopback, n=2",2,11580,sum,32,79.4009,65.1712,12.4524,1.77727,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9201,127.0.0.1:9202",0.039119
"single-host loopback, n=2",2,11580,sum,33,85.2467,71.6264,12.0819,1.53839,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9201,127.0.0.1:9202",0.039119
"single-host loopback, n=2",2,11580,sum,34,78.1208,63.1002,13.4504,1.57024,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9201,127.0.0.1:9202",0.039119
"single-host loopback, n=2",2,11580,sum,35,93.5121,75.9296,6.19102,11.3915,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9201,127.0.0.1:9202",0.039119
"single-host loopback, n=2",2,11580,sum,36,82.25,65.7552,14.8741,1.62067,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9201,127.0.0.1:9202",0.039119
"single-host loopback, n=2",2,11580,sum,37,107.611,93.3078,12.6232,1.67951,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9201,127.0.0.1:9202",0.039119
"single-host loopback, n=2",2,11580,sum,38,80.9381,72.1896,7.29997,1.44858,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9201,127.0.0.1:9202",0.039119
"single-host loopback, n=2",2,11580,sum,39,68.9928,52.2748,15.1847,1.53324,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9201,127.0.0.1:9202",0.039119
"single-host loopback, n=2",2,11580,sum,40,71.9367,60.6007,9.80731,1.52863,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9201,127.0.0.1:9202",0.039119
"single-host loopback, n=2",2,11580,sum,41,80.2348,67.2945,11.3859,1.5544,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9201,127.0.0.1:9202",0.039119
"single-host loopback, n=2",2,11580,sum,42,71.0869,56.5111,12.9537,1.62217,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9201,127.0.0.1:9202",0.039119
"single-host loopback, n=2",2,11580,sum,43,79.9884,66.6945,11.7635,1.53049,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9201,127.0.0.1:9202",0.039119
"single-host loopback, n=2",2,11580,sum,44,94.8608,79.6356,13.7542,1.47103,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9201,127.0.0.1:9202",0.039119
"single-host loopback, n=2",2,11580,sum,45,89.9339,77.5105,10.6486,1.7749,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9201,127.0.0.1:9202",0.039119
"single-host loopback, n=2",2,11580,sum,46,100.503,85.619,13.3188,1.56494,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9201,127.0.0.1:9202",0.039119
"single-host loopback, n=2",2,11580,sum,47,78.0169,62.3291,13.8654,1.82246,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9201,127.0.0.1:9202",0.039119
"single-host loopback, n=2",2,11580,sum,48,81.6867,68.1955,11.7349,1.75639,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9201,127.0.0.1:9202",0.039119
"single-host loopback, n=2",2,11580,sum,49,95.8959,79.8266,14.4737,1.59555,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9201,127.0.0.1:9202",0.039119
"single-host loopback, n=2",2,11580,sum,50,71.0846,57.9769,11.3714,1.73632,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9201,127.0.0.1:9202",0.039119
"single-host loopback, n=2",2,11580,sum,51,81.752,68.2871,11.6866,1.77832,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9201,127.0.0.1:9202",0.039119
"single-host loopback, n=2",2,11580,sum,52,91.0128,79.3894,6.01789,5.60547,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9201,127.0.0.1:9202",0.039119
"single-host loopback, n=2",2,11580,sum,53,83.9705,68.7972,13.7264,1.44686,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9201,127.0.0.1:9202",0.039119
"single-host loopback, n=2",2,11580,sum,54,75.2159,60.8018,12.8324,1.58173,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9201,127.0.0.1:9202",0.039119
"single-host loopback, n=2",2,11580,sum,55,75.0674,67.1799,5.98598,1.90159,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9201,127.0.0.1:9202",0.039119
"single-host loopback, n=2",2,11580,sum,56,79.272,67.6843,9.97005,1.61762,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9201,127.0.0.1:9202",0.039119
"single-host loopback, n=2",2,11580,sum,57,81.5568,68.1407,11.8763,1.53991,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9201,127.0.0.1:9202",0.039119
"single-host loopback, n=2",2,11580,sum,58,75.843,62.6408,11.5419,1.66027,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9201,127.0.0.1:9202",0.039119
"single-host loopback, n=2",2,11580,sum,59,78.1215,64.5654,11.9342,1.62186,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9201,127.0.0.1:9202",0.039119
