deployment,n_providers,N,template,query_index,end_to_end_ms,provider_compute_ms_max,transport_ms,client_combine_decrypt_ms,uplink_bytes_total,downlink_bytes_total,mac_ok,he_params,provider_list,rtt_ms_max
"single-host loopback, n=2",2,11580,sum,0,47.6515,36.5206,8.20295,2.92797,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,1,41.8491,32.1739,8.22103,1.45413,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,2,41.1427,35.0238,4.75582,1.36308,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,3,44.8799,34.9782,8.51765,1.38399,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,4,41.6061,35.1389,5.0624,1.40484,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,5,44.9718,35.0263,8.55604,1.38948,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,6,41.6808,35.0763,5.21113,1.39332,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,7,44.8276,34.8039,8.58669,1.43706,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,8,41.2651,35.0098,4.8684,1.38692,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,9,44.7664,34.9758,8.40576,1.3848,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,10,41.5934,35.0425,5.15274,1.39816,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,11,44.8336,34.7487,8.69199,1.39282,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,12,41.5373,34.8114,5.33818,1.38779,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,13,44.7272,34.8476,8.48814,1.39155,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,14,40.9948,34.7673,4.85684,1.3706,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,15,44.5074,34.7058,8.41775,1.38391,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,16,41.2313,34.8233,5.02452,1.3835,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,17,44.7054,34.8608,8.44397,1.40067,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,18,41.4794,34.9871,5.12074,1.37154,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,19,44.6677,34.821,8.46076,1.38589,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,20,41.701,34.7876,5.51657,1.39688,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,21,44.9114,34.7164,8.79444,1.40063,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,22,41.5626,31.8189,8.34649,1.39721,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,23,41.1183,34.826,4.90354,1.38876,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,24,44.6993,34.8479,8.44668,1.40468,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,25,41.1009,34.9212,4.80553,1.37413,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,26,44.7631,34.8182,8.51212,1.43273,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,27,41.2945,34.7686,5.12367,1.40227,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,28,44.3047,34.5095,8.39869,1.39651,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,29,41.2563,35.0508,4.81586,1.38968,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,30,44.1831,34.4996,8.31245,1.37106,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,31,41.3042,34.9824,4.9435,1.37835,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,32,44.3492,34.4077,8.54847,1.39307,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
