N,Nd,template,masked_index_bytes,plaintext_bitmap_bytes,mask_expansion_x,A_column_ct_count,A_column_bytes,U_column_bytes,encrypt_corpus_ms,compute_A_ms,compute_U_ms,build_masked_index_ms,mask_prf_values,mask_throughput_Mvals_per_s,he_params,cpu,threads
11580,1000,count,92640000,1447500,64,2,525950,525950,3.75742,0.050308,18.0397,71.7991,11580000,641.919,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",Intel(R) Xeon(R) Processor @ 2.10GHz,4
11580,1000,sum,92640000,1447500,64,2,525950,525950,3.75742,0.043041,14.2739,71.7991,11580000,811.27,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",Intel(R) Xeon(R) Processor @ 2.10GHz,4
11580,1000,band_sum,92640000,1447500,64,2,525950,525950,3.75742,0.032712,18.7636,71.7991,11580000,617.153,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",Intel(R) Xeon(R) Processor @ 2.10GHz,4
11580,1000,wsum,92640000,1447500,64,2,525950,525950,3.75742,0.032279,14.2508,71.7991,11580000,812.588,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",Intel(R) Xeon(R) Processor @ 2.10GHz,4
11580,10000,count,926400000,14475000,64,2,525950,525950,7.03906,0.148003,138.023,2589.68,115800000,838.99,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",Intel(R) Xeon(R) Processor @ 2.10GHz,4
11580,10000,sum,926400000,14475000,64,2,525950,525950,7.03906,0.068398,140.837,2589.68,115800000,822.229,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",Intel(R) Xeon(R) Processor @ 2.10GHz,4
11580,10000,band_sum,926400000,14475000,64,2,525950,525950,7.03906,0.07758,138.417,2589.68,115800000,836.601,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",Intel(R) Xeon(R) Processor @ 2.10GHz,4
11580,10000,wsum,926400000,14475000,64,2,525950,525950,7.03906,0.087876,138.798,2589.68,115800000,834.307,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",Intel(R) Xeon(R) Processor @ 2.10GHz,4
11580,50000,count,4632000000,72375000,64,2,525950,525950,23.633,0.717827,705.378,21763.2,579000000,820.837,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",Intel(R) Xeon(R) Processor @ 2.10GHz,4
11580,50000,sum,4632000000,72375000,64,2,525950,525950,23.633,0.30906,704.061,21763.2,579000000,822.372,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",Intel(R) Xeon(R) Processor @ 2.10GHz,4
11580,50000,band_sum,4632000000,72375000,64,2,525950,525950,23.633,0.295989,811.716,21763.2,579000000,713.304,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",Intel(R) Xeon(R) Processor @ 2.10GHz,4
11580,50000,wsum,4632000000,72375000,64,2,525950,525950,23.633,0.471587,715.492,21763.2,579000000,809.233,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",Intel(R) Xeon(R) Processor @ 2.10GHz,4
