experiment,N,Nd,template,threads,clients,latency_ms_median,latency_ms_p25,latency_ms_p75,queries_per_sec,reps,he_params,cpu
e8-core-scaling,11580,405184,sum,1,1,34.3344,34.2347,34.4616,29.1253,11,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor
e8-core-scaling,11580,405184,sum,2,1,34.1898,34.1362,34.2513,29.2485,11,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor
e8-core-scaling,11580,405184,sum,4,1,34.3304,34.2037,34.3567,29.1287,11,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor
e8-core-scaling,11580,405184,sum,8,1,34.3766,34.3416,34.4141,29.0895,11,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor
e8-core-scaling,11580,405184,sum,16,1,34.7364,34.6831,34.7666,28.7882,11,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor
e8-core-scaling,11580,405184,sum,32,1,35.3605,35.277,35.4735,28.2801,11,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor
e8-core-scaling,11580,405184,sum,64,1,38.3941,38.3381,38.503,26.0457,11,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor
e10-throughput,11580,405184,sum,1,1,34.3707,34.3009,34.459,29.0773,292,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor
e10-throughput,11580,405184,sum,1,2,35.091,35.0186,35.2005,56.9367,572,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor
e10-throughput,11580,405184,sum,1,4,36.756,33.4871,37.6607,110.16,1106,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor
e10-throughput,11580,405184,sum,1,8,89.3706,83.4757,94.9478,89.5295,900,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor
e10-throughput,11580,405184,sum,1,16,131.183,126.013,136.216,121.61,1225,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor
e10-throughput,11580,405184,sum,1,32,250.069,237.927,261.761,127.673,1297,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor
e10-throughput,11580,405184,sum,1,64,516.088,490.23,544.242,122.645,1263,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor
