path,N,Nd,n_parties,template,threads,provider_ms_median,provider_ms_p25,provider_ms_p75,client_ms_median,reps,downlink_bytes_per_provider,downlink_bytes_total,uplink_bytes_total,index_bytes_per_provider,he_params,cpu,note
fast,11580,1000,2,sum,64,52.8679,52.7832,53.3602,1.36266,11,525950,1051900,532,0,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor,A_f is O(N/l) ciphertexts; independent of Nd
general,11580,1000,2,sum,64,103.72,102.928,121.537,1.88577,3,525950,1051900,532,92640000,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor,Theta(N*Nd) contraction over the masked index
fast,11580,5000,2,sum,64,53.5052,53.4241,53.6784,1.36526,11,525950,1051900,532,0,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor,A_f is O(N/l) ciphertexts; independent of Nd
general,11580,5000,2,sum,64,106.912,101.703,119.958,1.86407,3,525950,1051900,532,463200000,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor,Theta(N*Nd) contraction over the masked index
fast,11580,10000,2,sum,64,52.9597,52.8832,53.1048,1.35157,11,525950,1051900,532,0,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor,A_f is O(N/l) ciphertexts; independent of Nd
general,11580,10000,2,sum,64,111.879,110.483,112.194,1.38322,3,525950,1051900,532,926400000,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor,Theta(N*Nd) contraction over the masked index
fast,11580,20000,2,sum,64,53.1907,53.0185,53.3045,1.36025,11,525950,1051900,532,0,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor,A_f is O(N/l) ciphertexts; independent of Nd
general,11580,20000,2,sum,64,121.684,121.513,141.43,1.38114,3,525950,1051900,532,1852800000,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor,Theta(N*Nd) contraction over the masked index
fast,11580,50000,2,sum,64,38.733,38.6805,38.8023,1.34116,11,525950,1051900,532,0,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor,A_f is O(N/l) ciphertexts; independent of Nd
general,11580,50000,2,sum,64,120.747,120.406,146.488,1.35836,3,525950,1051900,532,4632000000,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor,Theta(N*Nd) contraction over the masked index
fast,11580,100000,2,sum,64,38.5056,38.4596,38.5435,1.35929,11,525950,1051900,532,0,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor,A_f is O(N/l) ciphertexts; independent of Nd
general,11580,100000,2,sum,64,196.765,194.409,225.139,1.37094,3,525950,1051900,532,9264000000,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor,Theta(N*Nd) contraction over the masked index
fast,11580,200000,2,sum,64,38.6666,38.6377,38.7326,1.34669,11,525950,1051900,532,0,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor,A_f is O(N/l) ciphertexts; independent of Nd
general,11580,200000,2,sum,64,539.481,533.394,575.873,1.37677,3,525950,1051900,532,18528000000,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor,Theta(N*Nd) contraction over the masked index
fast,11580,405184,2,sum,64,38.5002,38.4187,38.7454,1.36256,11,525950,1051900,532,0,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor,A_f is O(N/l) ciphertexts; independent of Nd
general,11580,405184,2,sum,64,1378.25,1377.69,1379.12,1.39666,3,525950,1051900,532,37536245760,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor,Theta(N*Nd) contraction over the masked index
