deployment,n_providers,N,template,query_index,end_to_end_ms,provider_compute_ms_max,transport_ms,client_combine_decrypt_ms,uplink_bytes_total,downlink_bytes_total,mac_ok,he_params,provider_list,rtt_ms_max
"single-host loopback, n=4",4,11580,sum,0,57.4489,38.1282,16.4637,2.85697,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,1,52.8409,35.7134,15.4762,1.6513,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,2,53.1938,35.2442,16.3369,1.61263,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,3,52.4261,35.0811,15.696,1.64898,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,4,52.1437,35.1254,15.398,1.62031,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,5,53.0411,35.1257,16.3118,1.60357,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,6,52.459,35.0881,15.732,1.63888,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,7,52.2838,34.832,15.8399,1.61196,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,8,53.0282,35.5798,15.8577,1.59069,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,9,52.4605,34.9677,15.8826,1.61016,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,10,52.4376,34.567,16.2329,1.63765,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,11,53.0168,35.0415,16.3492,1.62616,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,12,52.7966,34.7959,16.3117,1.68899,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,13,52.2776,35.828,14.8308,1.61882,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,14,52.4684,35.7122,15.1334,1.62281,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,15,52.3754,35.4759,15.2935,1.60594,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,16,52.9381,35.6748,15.6037,1.65954,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,17,51.8267,35.533,14.6667,1.62698,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,18,52.2588,35.8911,14.7357,1.63204,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,19,59.8713,41.8714,16.3857,1.61412,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,20,52.1249,35.1525,15.365,1.60738,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
