N,n_parties,construction,key_bytes_per_provider,key_bytes_max,uplink_bytes_total,agg_downlink_bytes_per_provider,agg_downlink_bytes_total,retrieval_downlink_bytes_per_provider,Nd_for_retrieval,he_params
1000,2,bgi16-tree,198,198,396,525950,1051900,800000,100000,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128"
1000,2,nparty-explicit,32,8016,8048,525950,1051900,800000,100000,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128"
1000,3,nparty-explicit,32,8016,8080,525950,1577850,800000,100000,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128"
1000,4,nparty-explicit,32,8016,8112,525950,2103800,800000,100000,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128"
10000,2,bgi16-tree,266,266,532,525950,1051900,800000,100000,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128"
10000,2,nparty-explicit,32,80016,80048,525950,1051900,800000,100000,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128"
10000,3,nparty-explicit,32,80016,80080,525950,1577850,800000,100000,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128"
10000,4,nparty-explicit,32,80016,80112,525950,2103800,800000,100000,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128"
11580,2,bgi16-tree,266,266,532,525950,1051900,800000,100000,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128"
11580,2,nparty-explicit,32,92656,92688,525950,1051900,800000,100000,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128"
11580,3,nparty-explicit,32,92656,92720,525950,1577850,800000,100000,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128"
11580,4,nparty-explicit,32,92656,92752,525950,2103800,800000,100000,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128"
100000,2,bgi16-tree,317,317,634,525950,1051900,800000,100000,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128"
100000,2,nparty-explicit,32,800016,800048,525950,1051900,800000,100000,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128"
100000,3,nparty-explicit,32,800016,800080,525950,1577850,800000,100000,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128"
100000,4,nparty-explicit,32,800016,800112,525950,2103800,800000,100000,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128"
1000000,2,bgi16-tree,368,368,736,525950,1051900,800000,100000,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128"
1000000,2,nparty-explicit,32,8000016,8000048,525950,1051900,800000,100000,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128"
1000000,3,nparty-explicit,32,8000016,8000080,525950,1577850,800000,100000,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128"
1000000,4,nparty-explicit,32,8000016,8000112,525950,2103800,800000,100000,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128"
