tag_index,tag_name,unmasked_weight,masked_rowsum,p,N,Nd
0,co:b0,41129,57476619992,68724326401,11580,405184
1,co:b1,40516,61401953481,68724326401,11580,405184
2,co:b2,40206,33498264631,68724326401,11580,405184
3,co:b3,40223,48042447701,68724326401,11580,405184
4,co:b4,40518,57097111052,68724326401,11580,405184
5,co:b5,40537,9494344348,68724326401,11580,405184
6,co:b6,40511,30293649141,68724326401,11580,405184
7,co:b7,40597,23281160517,68724326401,11580,405184
8,co:b8,40446,30877419812,68724326401,11580,405184
9,co:b9,40501,7271374861,68724326401,11580,405184
10,dev:00:0f:00:70:91:0a,111815,20261786458,68724326401,11580,405184
11,dev:1c:bf:ce:15:ec:4d,105918,12018918767,68724326401,11580,405184
12,dev:b8:27:eb:bf:9d:51,187451,60447008373,68724326401,11580,405184
13,humidity:b0,42020,20881183562,68724326401,11580,405184
14,humidity:b1,42480,32047537395,68724326401,11580,405184
15,humidity:b2,39344,2289686138,68724326401,11580,405184
16,humidity:b3,40007,29430389134,68724326401,11580,405184
17,humidity:b4,38925,20702492381,68724326401,11580,405184
18,humidity:b5,41273,56780001640,68724326401,11580,405184
19,humidity:b6,39751,32058872001,68724326401,11580,405184
20,humidity:b7,41874,15338202948,68724326401,11580,405184
21,humidity:b8,39866,64861313212,68724326401,11580,405184
22,humidity:b9,39644,34819735107,68724326401,11580,405184
23,light:0,292657,6618568660,68724326401,11580,405184
24,light:1,112527,19364192409,68724326401,11580,405184
25,lpg:b0,41129,49462874449,68724326401,11580,405184
26,lpg:b1,40516,32670704575,68724326401,11580,405184
27,lpg:b2,40206,67495239375,68724326401,11580,405184
28,lpg:b3,40223,3386828415,68724326401,11580,405184
29,lpg:b4,40518,34860666176,68724326401,11580,405184
30,lpg:b5,40537,55341654394,68724326401,11580,405184
31,lpg:b6,40511,42158324477,68724326401,11580,405184
32,lpg:b7,40597,38571282418,68724326401,11580,405184
33,lpg:b8,40446,23422486678,68724326401,11580,405184
34,lpg:b9,40501,38608054682,68724326401,11580,405184
35,min:26575201,14,28127745821,68724326401,11580,405184
36,min:26575202,36,25773566618,68724326401,11580,405184
37,min:26575203,37,53508644130,68724326401,11580,405184
38,min:26575204,38,57272771298,68724326401,11580,405184
39,min:26575205,33,26521570400,68724326401,11580,405184
40,min:26575206,37,11622515587,68724326401,11580,405184
41,min:26575207,34,62673673981,68724326401,11580,405184
42,min:26575208,35,34902577907,68724326401,11580,405184
43,min:26575209,38,55497386349,68724326401,11580,405184
44,min:26575210,36,40221603207,68724326401,11580,405184
45,min:26575211,36,56240867884,68724326401,11580,405184
46,min:26575212,36,23189012461,68724326401,11580,405184
47,min:26575213,34,50320498560,68724326401,11580,405184
48,min:26575214,32,64014893522,68724326401,11580,405184
49,min:26575215,36,23273002953,68724326401,11580,405184
50,min:26575216,35,59823381356,68724326401,11580,405184
51,min:26575217,35,31770004112,68724326401,11580,405184
52,min:26575218,35,40198144328,68724326401,11580,405184
53,min:26575219,35,43655491959,68724326401,11580,405184
54,min:26575220,37,51104231430,68724326401,11580,405184
55,min:26575221,38,38750310035,68724326401,11580,405184
56,min:26575222,36,41365231306,68724326401,11580,405184
57,min:26575223,33,64534909686,68724326401,11580,405184
58,min:26575224,39,34759126403,68724326401,11580,405184
59,min:26575225,34,1702638174,68724326401,11580,405184
60,min:26575226,35,11235608911,68724326401,11580,405184
61,min:26575227,36,2252970905,68724326401,11580,405184
62,min:26575228,37,48054622678,68724326401,11580,405184
63,min:26575229,37,30463635687,68724326401,11580,405184
64,min:26575230,37,17371546546,68724326401,11580,405184
65,min:26575231,33,15747610689,68724326401,11580,405184
66,min:26575232,39,27076835585,68724326401,11580,405184
67,min:26575233,35,14478038694,68724326401,11580,405184
68,min:26575234,36,1359993012,68724326401,11580,405184
69,min:26575235,34,62288746097,68724326401,11580,405184
70,min:26575236,36,54335867115,68724326401,11580,405184
71,min:26575237,33,54107297574,68724326401,11580,405184
72,min:26575238,37,44089115139,68724326401,11580,405184
73,min:26575239,32,28840978929,68724326401,11580,405184
74,min:26575240,39,47225301267,68724326401,11580,405184
75,min:26575241,37,28492731038,68724326401,11580,405184
76,min:26575242,37,37442994757,68724326401,11580,405184
77,min:26575243,35,55431645250,68724326401,11580,405184
78,min:26575244,36,62563319301,68724326401,11580,405184
79,min:26575245,37,8701360065,68724326401,11580,405184
80,min:26575246,37,7049836266,68724326401,11580,405184
81,min:26575247,38,40185617798,68724326401,11580,405184
82,min:26575248,38,5564009817,68724326401,11580,405184
83,min:26575249,34,53883190470,68724326401,11580,405184
84,min:26575250,35,6102308930,68724326401,11580,405184
85,min:26575251,37,41262154642,68724326401,11580,405184
86,min:26575252,35,34038712150,68724326401,11580,405184
87,min:26575253,35,31776226677,68724326401,11580,405184
88,min:26575254,35,52256591885,68724326401,11580,405184
89,min:26575255,36,29039667298,68724326401,11580,405184
90,min:26575256,36,45976489681,68724326401,11580,405184
91,min:26575257,38,42569463988,68724326401,11580,405184
92,min:26575258,36,15216823620,68724326401,11580,405184
93,min:26575259,35,19439412949,68724326401,11580,405184
94,min:26575260,35,47180901059,68724326401,11580,405184
95,min:26575261,38,28214444726,68724326401,11580,405184
96,min:26575262,38,32478199782,68724326401,11580,405184
97,min:26575263,36,36741684885,68724326401,11580,405184
98,min:26575264,38,21369085348,68724326401,11580,405184
99,min:26575265,35,29609123018,68724326401,11580,405184
100,min:26575266,37,67882305482,68724326401,11580,405184
101,min:26575267,39,20923485394,68724326401,11580,405184
102,min:26575268,39,21220714844,68724326401,11580,405184
103,min:26575269,39,35113063090,68724326401,11580,405184
104,min:26575270,35,43753904079,68724326401,11580,405184
105,min:26575271,33,54089237672,68724326401,11580,405184
106,min:26575272,37,48678241154,68724326401,11580,405184
107,min:26575273,37,63126571759,68724326401,11580,405184
108,min:26575274,34,56805805499,68724326401,11580,405184
109,min:26575275,37,50264789958,68724326401,11580,405184
110,min:26575276,36,3715706255,68724326401,11580,405184
111,min:26575277,35,2169078141,68724326401,11580,405184
112,min:26575278,32,37863567464,68724326401,11580,405184
113,min:26575279,39,34761757513,68724326401,11580,405184
114,min:26575280,32,7405541195,68724326401,11580,405184
115,min:26575281,36,19070685103,68724326401,11580,405184
116,min:26575282,37,1848179621,68724326401,11580,405184
117,min:26575283,35,28317723986,68724326401,11580,405184
118,min:26575284,37,42589195021,68724326401,11580,405184
119,min:26575285,39,15731654252,68724326401,11580,405184
120,min:26575286,36,42597365158,68724326401,11580,405184
121,min:26575287,39,35102491966,68724326401,11580,405184
122,min:26575288,36,4430558578,68724326401,11580,405184
123,min:26575289,36,38926021049,68724326401,11580,405184
124,min:26575290,35,25641538079,68724326401,11580,405184
125,min:26575291,35,42655295484,68724326401,11580,405184
126,min:26575292,38,4677047160,68724326401,11580,405184
127,min:26575293,37,24026079703,68724326401,11580,405184
128,min:26575294,35,2034659313,68724326401,11580,405184
129,min:26575295,39,38603011442,68724326401,11580,405184
130,min:26575296,36,66283964632,68724326401,11580,405184
131,min:26575297,39,38975748357,68724326401,11580,405184
132,min:26575298,35,60214926082,68724326401,11580,405184
133,min:26575299,35,62960673762,68724326401,11580,405184
134,min:26575300,37,61172832748,68724326401,11580,405184
135,min:26575301,37,27137072568,68724326401,11580,405184
136,min:26575302,36,15555225626,68724326401,11580,405184
137,min:26575303,36,40104511214,68724326401,11580,405184
138,min:26575304,36,30223813338,68724326401,11580,405184
139,min:26575305,38,13598747311,68724326401,11580,405184
140,min:26575306,35,65432822253,68724326401,11580,405184
141,min:26575307,38,9930613566,68724326401,11580,405184
142,min:26575308,36,31418041943,68724326401,11580,405184
143,min:26575309,33,30052609077,68724326401,11580,405184
144,min:26575310,35,30725564347,68724326401,11580,405184
145,min:26575311,35,3700605665,68724326401,11580,405184
146,min:26575312,37,53946761703,68724326401,11580,405184
147,min:26575313,39,21876555774,68724326401,11580,405184
148,min:26575314,31,9408190126,68724326401,11580,405184
149,min:26575315,39,30187092532,68724326401,11580,405184
150,min:26575316,37,62052569498,68724326401,11580,405184
151,min:26575317,35,18495135702,68724326401,11580,405184
152,min:26575318,36,67503599412,68724326401,11580,405184
153,min:26575319,37,7204671983,68724326401,11580,405184
154,min:26575320,38,26099568307,68724326401,11580,405184
155,min:26575321,37,17995802583,68724326401,11580,405184
156,min:26575322,35,11472952930,68724326401,11580,405184
157,min:26575323,33,40651518151,68724326401,11580,405184
158,min:26575324,38,13646550354,68724326401,11580,405184
159,min:26575325,39,39631408263,68724326401,11580,405184
160,min:26575326,33,29339767251,68724326401,11580,405184
161,min:26575327,39,40913353337,68724326401,11580,405184
162,min:26575328,38,28239507187,68724326401,11580,405184
163,min:26575329,39,32871203498,68724326401,11580,405184
164,min:26575330,38,60320233083,68724326401,11580,405184
165,min:26575331,39,51170589279,68724326401,11580,405184
166,min:26575332,38,48900574937,68724326401,11580,405184
167,min:26575333,38,11719826616,68724326401,11580,405184
168,min:26575334,36,19696377694,68724326401,11580,405184
169,min:26575335,34,25760764970,68724326401,11580,405184
170,min:26575336,37,48932011080,68724326401,11580,405184
171,min:26575337,39,3169255362,68724326401,11580,405184
172,min:26575338,36,46534818448,68724326401,11580,405184
173,min:26575339,37,21406550817,68724326401,11580,405184
174,min:26575340,37,41934795182,68724326401,11580,405184
175,min:26575341,36,15279702921,68724326401,11580,405184
176,min:26575342,37,31640788077,68724326401,11580,405184
177,min:26575343,36,44701836693,68724326401,11580,405184
178,min:26575344,38,48521465457,68724326401,11580,405184
179,min:26575345,34,25791504049,68724326401,11580,405184
180,min:26575346,38,26537997721,68724326401,11580,405184
181,min:26575347,33,7751056793,68724326401,11580,405184
182,min:26575348,33,53048863557,68724326401,11580,405184
183,min:26575349,33,6536896025,68724326401,11580,405184
184,min:26575350,33,33512670142,68724326401,11580,405184
185,min:26575351,35,50549124220,68724326401,11580,405184
186,min:26575352,37,24794633979,68724326401,11580,405184
187,min:26575353,32,16875689469,68724326401,11580,405184
188,min:26575354,37,12285528470,68724326401,11580,405184
189,min:26575355,37,20585940890,68724326401,11580,405184
190,min:26575356,33,8702040275,68724326401,11580,405184
191,min:26575357,34,18362675659,68724326401,11580,405184
192,min:26575358,34,25444275975,68724326401,11580,405184
193,min:26575359,36,65994971692,68724326401,11580,405184
194,min:26575360,35,50907372666,68724326401,11580,405184
195,min:26575361,37,35149320610,68724326401,11580,405184
196,min:26575362,34,64230845137,68724326401,11580,405184
197,min:26575363,36,5560729494,68724326401,11580,405184
198,min:26575364,33,67026248920,68724326401,11580,405184
199,min:26575365,35,32948583378,68724326401,11580,405184
200,min:26575366,35,31759400249,68724326401,11580,405184
201,min:26575367,35,52422817528,68724326401,11580,405184
202,min:26575368,35,36048216454,68724326401,11580,405184
203,min:26575369,36,28592824311,68724326401,11580,405184
204,min:26575370,37,48414771664,68724326401,11580,405184
205,min:26575371,34,30681608612,68724326401,11580,405184
206,min:26575372,36,3427924282,68724326401,11580,405184
207,min:26575373,41,63688036752,68724326401,11580,405184
208,min:26575374,36,60842451409,68724326401,11580,405184
209,min:26575375,35,1274408885,68724326401,11580,405184
210,min:26575376,35,51472489686,68724326401,11580,405184
211,min:26575377,37,63029765369,68724326401,11580,405184
212,min:26575378,38,23086208160,68724326401,11580,405184
213,min:26575379,36,35143263351,68724326401,11580,405184
214,min:26575380,37,41391579920,68724326401,11580,405184
215,min:26575381,36,9569022026,68724326401,11580,405184
216,min:26575382,36,15774100778,68724326401,11580,405184
217,min:26575383,35,5516065057,68724326401,11580,405184
218,min:26575384,40,61252058618,68724326401,11580,405184
219,min:26575385,37,44283591396,68724326401,11580,405184
220,min:26575386,36,60445500037,68724326401,11580,405184
221,min:26575387,34,60431989079,68724326401,11580,405184
222,min:26575388,35,28152408999,68724326401,11580,405184
223,min:26575389,37,28887054181,68724326401,11580,405184
224,min:26575390,38,53526754950,68724326401,11580,405184
225,min:26575391,38,37859890679,68724326401,11580,405184
226,min:26575392,35,23539387224,68724326401,11580,405184
227,min:26575393,36,20941784331,68724326401,11580,405184
228,min:26575394,37,27818800751,68724326401,11580,405184
229,min:26575395,35,13278941203,68724326401,11580,405184
230,min:26575396,38,28680483404,68724326401,11580,405184
231,min:26575397,38,59456400180,68724326401,11580,405184
232,min:26575398,36,54693483407,68724326401,11580,405184
233,min:26575399,36,48557044367,68724326401,11580,405184
234,min:26575400,34,64389885505,68724326401,11580,405184
235,min:26575401,33,5848067974,68724326401,11580,405184
236,min:26575402,36,63814418359,68724326401,11580,405184
237,min:26575403,35,62801879422,68724326401,11580,405184
238,min:26575404,37,8690818327,68724326401,11580,405184
239,min:26575405,36,50250308800,68724326401,11580,405184
240,min:26575406,41,6931269329,68724326401,11580,405184
241,min:26575407,40,22207547953,68724326401,11580,405184
242,min:26575408,38,450463993,68724326401,11580,405184
243,min:26575409,37,57041678404,68724326401,11580,405184
244,min:26575410,39,11605799551,68724326401,11580,405184
245,min:26575411,38,14974099199,68724326401,11580,405184
246,min:26575412,37,21863551618,68724326401,11580,405184
247,min:26575413,34,22227354885,68724326401,11580,405184
248,min:26575414,34,61909117737,68724326401,11580,405184
249,min:26575415,34,64896406866,68724326401,11580,405184
250,min:26575416,41,35841237324,68724326401,11580,405184
251,min:26575417,36,40467725922,68724326401,11580,405184
252,min:26575418,35,66830077991,68724326401,11580,405184
253,min:26575419,34,12013898986,68724326401,11580,405184
254,min:26575420,39,38066359584,68724326401,11580,405184
255,min:26575421,38,62012952506,68724326401,11580,405184
256,min:26575422,39,32456984289,68724326401,11580,405184
257,min:26575423,36,50947259437,68724326401,11580,405184
258,min:26575424,38,1143981348,68724326401,11580,405184
259,min:26575425,38,4415595818,68724326401,11580,405184
260,min:26575426,36,16559556963,68724326401,11580,405184
261,min:26575427,35,62738567636,68724326401,11580,405184
262,min:26575428,36,5109721671,68724326401,11580,405184
263,min:26575429,37,51182419887,68724326401,11580,405184
264,min:26575430,35,32213292093,68724326401,11580,405184
265,min:26575431,36,5378899244,68724326401,11580,405184
266,min:26575432,36,11513709742,68724326401,11580,405184
267,min:26575433,35,9618575922,68724326401,11580,405184
268,min:26575434,37,32295786678,68724326401,11580,405184
269,min:26575435,38,10378527150,68724326401,11580,405184
270,min:26575436,34,30603505819,68724326401,11580,405184
271,min:26575437,37,58556260605,68724326401,11580,405184
272,min:26575438,36,44342978983,68724326401,11580,405184
273,min:26575439,34,36762855309,68724326401,11580,405184
274,min:26575440,37,17841297811,68724326401,11580,405184
275,min:26575441,37,54731527693,68724326401,11580,405184
276,min:26575442,38,43831760063,68724326401,11580,405184
277,min:26575443,39,43273505448,68724326401,11580,405184
278,min:26575444,40,9464681346,68724326401,11580,405184
279,min:26575445,38,30153120409,68724326401,11580,405184
280,min:26575446,37,67744615343,68724326401,11580,405184
281,min:26575447,36,54376978329,68724326401,11580,405184
282,min:26575448,35,13910046201,68724326401,11580,405184
283,min:26575449,36,44457488232,68724326401,11580,405184
284,min:26575450,38,56503402632,68724326401,11580,405184
285,min:26575451,38,67427854491,68724326401,11580,405184
286,min:26575452,39,59107455734,68724326401,11580,405184
287,min:26575453,34,9300492224,68724326401,11580,405184
288,min:26575454,34,16872223501,68724326401,11580,405184
289,min:26575455,37,8562769645,68724326401,11580,405184
290,min:26575456,37,57949650745,68724326401,11580,405184
291,min:26575457,37,26508010512,68724326401,11580,405184
292,min:26575458,38,11910478869,68724326401,11580,405184
293,min:26575459,35,50472612195,68724326401,11580,405184
