N,Nd,template,masked_index_bytes,plaintext_bitmap_bytes,mask_expansion_x,A_column_ct_count,A_column_bytes,U_column_bytes,encrypt_corpus_ms,compute_A_ms,compute_U_ms,build_masked_index_ms,mask_prf_values,mask_throughput_Mvals_per_s,he_params,cpu,threads
11580,1000,count,92640000,1447500,64,2,525950,525950,3.9818,5.99919,12,59.947,11580000,965.002,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor,64
11580,1000,sum,92640000,1447500,64,2,525950,525950,3.9818,0.046098,1.6683,59.947,11580000,6941.21,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor,64
11580,1000,band_sum,92640000,1447500,64,2,525950,525950,3.9818,0.04745,1.68988,59.947,11580000,6852.57,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor,64
11580,1000,wsum,92640000,1447500,64,2,525950,525950,3.9818,0.046479,1.72687,59.947,11580000,6705.78,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor,64
11580,10000,count,926400000,14475000,64,2,525950,525950,7.77745,0.114788,16.7861,568.065,115800000,6898.56,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor,64
11580,10000,sum,926400000,14475000,64,2,525950,525950,7.77745,0.159732,16.3547,568.065,115800000,7080.52,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor,64
11580,10000,band_sum,926400000,14475000,64,2,525950,525950,7.77745,0.147521,16.3059,568.065,115800000,7101.7,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor,64
11580,10000,wsum,926400000,14475000,64,2,525950,525950,7.77745,0.144474,16.6721,568.065,115800000,6945.73,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor,64
11580,100000,count,9264000000,144750000,64,2,525950,525950,49.0251,11.9999,218.22,5600.97,1158000000,5306.58,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor,64
11580,100000,sum,9264000000,144750000,64,2,525950,525950,49.0251,1.25309,170.647,5600.97,1158000000,6785.94,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor,64
11580,100000,band_sum,9264000000,144750000,64,2,525950,525950,49.0251,1.25343,172.927,5600.97,1158000000,6696.46,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor,64
11580,100000,wsum,9264000000,144750000,64,2,525950,525950,49.0251,1.21862,172.508,5600.97,1158000000,6712.74,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128",AMD EPYC 7J13 64-Core Processor,64
